route_id,route_short_name,route_long_name,direction,headway_minutes,total_trips,trip_id,trip_start_time,stop_order,stop_name,arrival_time,departure_time
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176066-0,8:00:00,13,Sui Gas Stop,8:29:35,8:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176066-0,8:00:00,14,OGTI Stop,8:35:25,8:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176066-0,8:00:00,15,CDA Complain Center,8:39:35,8:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176066-0,8:00:00,16,MCI Model School,8:45:00,8:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,1,Nust Metro Station,9:00:00,9:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,2,NPA Stop,9:04:40,9:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,3,Islamic University,9:07:20,9:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,4,FAST University,9:10:20,9:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,5,PAEC General Hospital,9:13:00,9:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,6,IMC Hospital,9:15:05,9:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,7,Metro CNC,9:17:45,9:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,8,Sabzi Mandi,9:19:25,9:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,9,Mandi Morh,9:22:15,9:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,10,Kurang Road Stop,9:24:00,9:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,11,IESCO,9:26:00,9:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,12,PTCL I-10,9:27:50,9:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,13,Sui Gas Stop,9:29:35,9:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,14,OGTI Stop,9:35:25,9:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,15,CDA Complain Center,9:39:35,9:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176067-0,9:00:00,16,MCI Model School,9:45:00,9:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,1,Nust Metro Station,10:00:00,10:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,2,NPA Stop,10:04:40,10:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,3,Islamic University,10:07:20,10:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,4,FAST University,10:10:20,10:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,5,PAEC General Hospital,10:13:00,10:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,6,IMC Hospital,10:15:05,10:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,7,Metro CNC,10:17:45,10:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,8,Sabzi Mandi,10:19:25,10:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,9,Mandi Morh,10:22:15,10:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,10,Kurang Road Stop,10:24:00,10:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,11,IESCO,10:26:00,10:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,12,PTCL I-10,10:27:50,10:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,13,Sui Gas Stop,10:29:35,10:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,14,OGTI Stop,10:35:25,10:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,15,CDA Complain Center,10:39:35,10:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176068-0,10:00:00,16,MCI Model School,10:45:00,10:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,1,Nust Metro Station,11:00:00,11:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,2,NPA Stop,11:04:40,11:05:00
